Symbol,Tranche,ISIN,Payment_Date,Payment_Type,Amount_Per_Gram
SGBDEC2513,2017-18 Series XIII,IN0020170158,2022-06-21,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2022-06-27,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2022-06-28,COUPON,38.99
SGBJAN29IX,2020-21 Series IX,IN0020200377,2022-07-05,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2022-07-12,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2022-07-12,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2022-07-19,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2022-07-19,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2022-07-19,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2022-07-19,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2022-07-19,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2022-07-22,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2022-07-29,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2022-08-01,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2022-08-09,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2022-08-09,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2022-08-09,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2022-08-09,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2022-08-10,COUPON,43.74
SGBAUG29V,2021-22 Series V,IN0020210129,2022-08-16,COUPON,59.88
SGBMAR30X,2021-22 Series X,IN0020210319,2022-09-06,COUPON,63.87
SGBMR29XII,2020-21 Series XII,IN0020200427,2022-09-06,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2022-09-06,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2022-09-06,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2022-09-07,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2022-09-09,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2022-09-13,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2022-09-20,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2022-09-23,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2022-10-10,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2022-10-11,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2022-10-17,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2022-10-18,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2022-10-18,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2022-10-24,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2022-10-25,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2022-10-26,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2022-10-28,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2022-10-31,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2022-11-01,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2022-11-04,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2022-11-07,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2022-11-08,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2022-11-10,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2022-11-14,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2022-11-15,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2022-11-16,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2022-11-21,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2022-11-21,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2022-11-22,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2022-11-28,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2022-11-29,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2022-12-05,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2022-12-06,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2022-12-06,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2022-12-06,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2022-12-06,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2022-12-12,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2022-12-13,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2022-12-20,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2022-12-26,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2022-12-27,COUPON,38.99
SGBJUN30,2022-23 Series I,IN0020220045,2022-12-27,COUPON,63.64
SGBJAN29IX,2020-21 Series IX,IN0020200377,2023-01-03,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2023-01-10,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2023-01-10,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2023-01-17,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2023-01-17,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2023-01-17,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2023-01-17,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2023-01-17,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2023-01-20,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2023-01-27,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2023-01-30,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2023-02-07,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2023-02-07,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2023-02-07,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2023-02-07,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2023-02-08,COUPON,43.74
SGBAUG29V,2021-22 Series V,IN0020210129,2023-02-14,COUPON,59.88
SGBAUG30,2022-23 Series II,IN0020220078,2023-02-28,COUPON,64.97
SGBMAR30X,2021-22 Series X,IN0020210319,2023-03-07,COUPON,63.87
SGBMR29XII,2020-21 Series XII,IN0020200427,2023-03-07,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2023-03-07,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2023-03-07,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2023-03-08,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2023-03-10,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2023-03-14,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2023-03-21,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2023-03-24,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2023-04-10,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2023-04-11,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2023-04-17,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2023-04-18,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2023-04-18,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2023-04-24,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2023-04-25,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2023-04-26,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2023-04-28,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2023-05-01,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2023-05-02,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2023-05-05,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2023-05-08,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2023-05-09,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2023-05-11,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2023-05-15,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2023-05-16,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2023-05-17,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2023-05-22,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2023-05-22,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2023-05-23,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2023-05-29,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2023-05-30,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2023-06-05,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2023-06-06,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2023-06-06,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2023-06-06,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2023-06-06,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2023-06-12,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2023-06-13,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2023-06-20,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2023-06-26,COUPON,36.02
SGBDE30III,2022-23 Series III,IN0020220110,2023-06-27,COUPON,67.61
SGBDEC26,2018-19 Series IV,IN0020180389,2023-06-27,COUPON,38.99
SGBJUN30,2022-23 Series I,IN0020220045,2023-06-27,COUPON,63.64
SGBJAN29IX,2020-21 Series IX,IN0020200377,2023-07-04,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2023-07-11,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2023-07-11,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2023-07-18,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2023-07-18,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2023-07-18,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2023-07-18,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2023-07-18,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2023-07-21,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2023-07-28,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2023-07-31,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2023-08-08,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2023-08-08,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2023-08-08,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2023-08-08,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2023-08-09,COUPON,43.74
SGBAUG29V,2021-22 Series V,IN0020210129,2023-08-15,COUPON,59.88
SGBAUG30,2022-23 Series II,IN0020220078,2023-08-29,COUPON,64.97
SGBMAR30X,2021-22 Series X,IN0020210319,2023-09-05,COUPON,63.87
SGBMR29XII,2020-21 Series XII,IN0020200427,2023-09-05,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2023-09-05,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2023-09-05,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2023-09-06,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2023-09-08,COUPON,36.79
SGBMAR31IV,2022-23 Series IV,IN0020220169,2023-09-12,COUPON,70.14
SGBSEP27,2019-20 Series IV,IN0020190115,2023-09-12,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2023-09-19,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2023-09-22,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2023-10-09,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2023-10-10,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2023-10-16,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2023-10-17,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2023-10-17,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2023-10-23,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2023-10-24,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2023-10-25,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2023-10-27,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2023-10-30,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2023-10-31,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2023-11-03,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2023-11-06,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2023-11-07,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2023-11-09,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2023-11-13,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2023-11-14,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2023-11-15,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2023-11-20,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2023-11-20,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2023-11-21,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2023-11-27,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2023-11-28,COUPON,60.52
SGBNOV23,2015-16 Series I,IN0020150085,2023-11-30,REDEMPTION,6132.0
SGBDEC25XI,2017-18 Series XI,IN0020170133,2023-12-04,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2023-12-05,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2023-12-05,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2023-12-05,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2023-12-05,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2023-12-11,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2023-12-12,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2023-12-19,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2023-12-25,COUPON,36.02
SGBDE30III,2022-23 Series III,IN0020220110,2023-12-26,COUPON,67.61
SGBDEC26,2018-19 Series IV,IN0020180389,2023-12-26,COUPON,38.99
SGBJUN30,2022-23 Series I,IN0020220045,2023-12-26,COUPON,63.64
SGBJUN31I,2023-24 Series I,IN0020230069,2023-12-26,COUPON,74.08
SGBJAN29IX,2020-21 Series IX,IN0020200377,2024-01-02,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2024-01-09,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2024-01-09,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2024-01-16,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2024-01-16,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2024-01-16,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2024-01-16,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2024-01-16,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2024-01-19,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2024-01-26,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2024-01-29,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2024-02-06,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2024-02-06,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2024-02-06,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2024-02-06,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2024-02-07,COUPON,43.74
SGBFEB24,2015-16 Series II,IN0020150101,2024-02-08,REDEMPTION,6271.0
SGBAUG29V,2021-22 Series V,IN0020210129,2024-02-13,COUPON,59.88
SGBAUG30,2022-23 Series II,IN0020220078,2024-02-27,COUPON,64.97
SGBMAR30X,2021-22 Series X,IN0020210319,2024-03-05,COUPON,63.87
SGBMR29XII,2020-21 Series XII,IN0020200427,2024-03-05,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2024-03-05,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2024-03-05,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2024-03-06,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2024-03-08,COUPON,36.79
SGBMAR31IV,2022-23 Series IV,IN0020220169,2024-03-12,COUPON,70.14
SGBSEP27,2019-20 Series IV,IN0020190115,2024-03-12,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2024-03-19,COUPON,40.09
SGBSEP31II,2023-24 Series II,IN0020230093,2024-03-20,COUPON,74.04
SGBSEP24,2016-17 Series II,IN0020160043,2024-03-22,COUPON,39.38
SGBMAR24,2015-16 Series III,IN0020150119,2024-03-29,REDEMPTION,6601.0
SGBOCT25,2017-18 Series III,IN0020170059,2024-04-08,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2024-04-09,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2024-04-15,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2024-04-16,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2024-04-16,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2024-04-22,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2024-04-23,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2024-04-24,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2024-04-26,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2024-04-29,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2024-04-30,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2024-05-03,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2024-05-06,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2024-05-07,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2024-05-09,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2024-05-13,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2024-05-14,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2024-05-15,COUPON,64.72
SGBNOV25IX,2017-18 Series IX,IN0020170117,2024-05-20,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2024-05-21,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2024-05-27,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2024-05-28,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2024-06-03,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2024-06-04,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2024-06-04,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2024-06-04,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2024-06-04,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2024-06-10,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2024-06-11,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2024-06-18,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2024-06-24,COUPON,36.02
SGBDE30III,2022-23 Series III,IN0020220110,2024-06-25,COUPON,67.61
SGBDEC26,2018-19 Series IV,IN0020180389,2024-06-25,COUPON,38.99
SGBJUN30,2022-23 Series I,IN0020220045,2024-06-25,COUPON,63.64
SGBJUN31I,2023-24 Series I,IN0020230069,2024-06-25,COUPON,74.08
SGBDE31III,2023-24 Series III,IN0020230168,2024-06-27,COUPON,77.49
SGBJAN29IX,2020-21 Series IX,IN0020200377,2024-07-02,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2024-07-09,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2024-07-09,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2024-07-16,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2024-07-16,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2024-07-16,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2024-07-16,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2024-07-16,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2024-07-19,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2024-07-26,COUPON,38.99
SGBAUG24,2016-17 Series I,IN0020160027,2024-08-05,REDEMPTION,6938.0
SGBAUG28V,2020-21 Series V,IN0020200161,2024-08-06,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2024-08-06,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2024-08-06,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2024-08-06,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2024-08-07,COUPON,43.74
SGBAUG29V,2021-22 Series V,IN0020210129,2024-08-13,COUPON,59.88
SGBFEB32IV,2023-24 Series IV,IN0020230184,2024-08-21,COUPON,78.29
SGBAUG30,2022-23 Series II,IN0020220078,2024-08-27,COUPON,64.97
SGBMAR30X,2021-22 Series X,IN0020210319,2024-09-03,COUPON,63.87
SGBMR29XII,2020-21 Series XII,IN0020200427,2024-09-03,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2024-09-03,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2024-09-03,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2024-09-04,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2024-09-06,COUPON,36.79
SGBMAR31IV,2022-23 Series IV,IN0020220169,2024-09-10,COUPON,70.14
SGBSEP27,2019-20 Series IV,IN0020190115,2024-09-10,COUPON,48.62
SGBSEP31II,2023-24 Series II,IN0020230093,2024-09-18,COUPON,74.04
SGBSEP24,2016-17 Series II,IN0020160043,2024-09-20,COUPON,39.38
SGBSEP24,2016-17 Series II,IN0020160043,2024-09-30,REDEMPTION,7517.0
SGBOCT25,2017-18 Series III,IN0020170059,2024-10-07,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2024-10-08,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2024-10-14,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2024-10-15,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2024-10-15,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2024-10-21,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2024-10-22,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2024-10-23,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2024-10-25,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2024-10-28,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2024-10-29,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2024-11-01,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2024-11-04,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2024-11-05,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2024-11-07,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2024-11-11,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2024-11-12,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2024-11-13,COUPON,64.72
SGBNOV24,2016-17 Series III,IN0020160076,2024-11-17,REDEMPTION,7737.0
SGBNOV25IX,2017-18 Series IX,IN0020170117,2024-11-18,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2024-11-19,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2024-11-25,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2024-11-26,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2024-12-02,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2024-12-03,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2024-12-03,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2024-12-03,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2024-12-03,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2024-12-09,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2024-12-10,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2024-12-17,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2024-12-23,COUPON,36.02
SGBDE30III,2022-23 Series III,IN0020220110,2024-12-24,COUPON,67.61
SGBDEC26,2018-19 Series IV,IN0020180389,2024-12-24,COUPON,38.99
SGBJUN30,2022-23 Series I,IN0020220045,2024-12-24,COUPON,63.64
SGBJUN31I,2023-24 Series I,IN0020230069,2024-12-24,COUPON,74.08
SGBDE31III,2023-24 Series III,IN0020230168,2024-12-26,COUPON,77.49
SGBJAN29IX,2020-21 Series IX,IN0020200377,2024-12-31,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2025-01-07,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2025-01-07,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2025-01-14,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2025-01-14,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2025-01-14,COUPON,63.8
SGBJAN30IX,2021-22 Series IX,IN0020210236,2025-01-14,COUPON,59.83
SGBJUL29IV,2021-22 Series IV,IN0020210111,2025-01-14,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2025-01-17,COUPON,35.38
SGBAUG28V,2020-21 Series V,IN0020200161,2025-02-04,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2025-02-04,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2025-02-04,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2025-02-04,COUPON,61.4
