Ex_Date,Record_Date,Symbol,Company_Name,Series,Action_Type,Ratio_or_Amount,Purpose,Face_Value,ISIN,BC_Start_Date,BC_End_Date
2022-10-18,2022-10-19,MBAPL,Madhya Bharat Agro Products Limited,EQ,BONUS,1:1,Bonus 1:1,2,INE900L01010,,
2022-10-17,2022-10-18,SUVEN,Suven Life Sciences Limited,EQ,RIGHTS,1:2,Rights 1:2 @ Premium Rs 54/-,1,INE495B01038,,
2022-10-17,2022-10-18,TCS,Tata Consultancy Services Limited,EQ,DIVIDEND,8.00,Interim Dividend - Rs 8 Per Share,1,INE467B01029,,
2022-10-13,2022-10-14,716GS2050,Government of India,GS,INTEREST,,Interest Payment,100,IN0020200054,,
2022-10-13,,TCIFINANCE,TCI Finance Limited,EQ,MEETING,,Annual General Meeting,10,INE911B01018,2022-10-14,2022-10-20
2022-10-12,2022-10-13,SBCL,Shivalik Bimetal Controls Limited,EQ,BONUS,1:2,Bonus 1:2,2,INE386D01027,,
2022-10-10,2022-10-11,RUCHIRA,Ruchira Papers Limited,EQ,BONUS,1:10,Bonus 1:10,10,INE803H01014,,
2022-10-07,2022-10-10,737GS2023,GOVERNMENT OF INDIA,GS,INTEREST,,Interest Payment,100,IN0020180025,,
2022-10-07,2022-10-07,AJOONI,Ajooni Biotech Limited,EQ,SPLIT,10:2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,INE820Y01013,,
2022-10-06,2022-10-07,719GS2060,Government of India,GS,INTEREST,,Interest Payment,100,IN0020200039,,
2022-10-06,,ACCELYA,Accelya Solutions India Limited,EQ,DIVIDEND,45.00,Annual General Meetingdividend - Rs  45 Per Share,10,INE793A01012,2022-10-10,2022-10-19
2022-10-06,2022-10-07,AHLEAST,Asian Hotels (East) Limited,EQ,DEMERGER,,Demerger,10,INE926K01017,,
2022-10-06,2022-10-07,AHLEAST,Asian Hotels (East) Limited,EQ,BONUS,1:2,Bonus 1:2,10,INE926K01017,,
2022-10-06,2022-10-08,INTERISE,Interise Trust,IV,DIVIDEND,0.57,Interest Amount - Re 0.57/Dividend Rs 1.61 Per Unit,100,INE790Z23019,,
2022-10-06,2022-10-07,SPAL,S. P. Apparels Limited,EQ,BUYBACK,,Buy Back,10,INE212I01016,,
2022-10-04,2022-10-06,563GS2026,Government of India,GS,INTEREST,,Interest Payment,100,IN0020210012,,
2022-10-03,2022-10-04,706GS2046,GOVERNMENT OF INDIA,GS,INTEREST,,Interest Payment,100,IN0020160068,,
2022-10-03,2022-10-05,MOTHERSON,Samvardhana Motherson International Limited,EQ,BONUS,1:2,Bonus 1:2,1,INE775A01035,,
2022-10-03,2022-10-04,SUZLON,Suzlon Energy Limited,EQ,RIGHTS,5:21,Rights 5:21 @ Premium Rs 3/-,2,INE040H01021,,
2022-09-30,2022-10-03,63GS2023,GOVERNMENT OF INDIA,GS,INTEREST,,Interest Payment,100,IN0020030014,,
2022-09-30,,FEDDERELEC,Fedders Electric and Engineering Limited,EQ,MEETING,,Annual General Meeting,10,INE249C01011,2022-10-02,2022-10-03
2022-09-30,2022-10-03,INSECTICID,Insecticides (India) Limited,EQ,BONUS,1:2,Bonus 1:2,10,INE070I01018,,
2022-09-30,,MTNL,Mahanagar Telephone Nigam Limited,EQ,MEETING,,Annual General Meeting,10,INE153A01019,2022-10-04,2022-10-10
2022-09-29,2022-10-01,645GS2029,Government of India,GS,INTEREST,,Interest Payment,100,IN0020190362,,
2022-09-29,2022-10-01,727GS2026,GOVERNMENT OF INDIA,GS,INTEREST,,Interest Payment,100,IN0020190016,,
2022-09-28,2022-09-28,LANDSMILL,Landsmill Green Limited,EQ,SPLIT,10:1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,INE688J01023,,
2022-09-28,2022-09-28,LANDSMILL,Landsmill Green Limited,EQ,BONUS,1:2,Bonus 1:2,1,INE688J01023,,
2022-09-28,2022-09-29,RAMRAT,Ram Ratna Wires Limited,EQ,BONUS,1:1,Bonus 1:1,5,INE207E01023,,
2022-09-27,,BARTRONICS,Bartronics India Limited,EQ,MEETING,,Annual General Meeting,10,INE855F01034,2022-09-28,2022-09-29
2022-09-27,,BFUTILITIE,BF Utilities Limited,EQ,MEETING,,Annual General Meeting,5,INE243D01012,2022-09-29,2022-09-29
2022-09-27,2022-09-28,BHARATGEAR,Bharat Gears Limited,EQ,BONUS,1:2,Bonus 1:2,10,INE561C01019,,
2022-09-27,,CELESTIAL,Celestial Biolabs Limited,EQ,MEETING,,Annual General Meeting,10,INE221I01017,2022-09-28,2022-09-30
2022-09-26,,ANTGRAPHIC,Antarctica Limited,EQ,MEETING,,Annual General Meeting,1,INE414B01021,2022-09-27,2022-09-30
2022-09-26,,ARROWGREEN,Arrow Greentech Limited,EQ,MEETING,,Annual General Meeting,10,INE570D01018,2022-09-28,2022-09-30
2022-09-26,,BFINVEST,BF Investment Limited,EQ,MEETING,,Annual General Meeting,5,INE878K01010,2022-09-28,2022-09-28
2022-09-26,,COASTCORP,Coastal Corporation Limited,EQ,MEETING,,Annual General Meeting,2,INE377E01016,2022-09-28,2022-09-30
2022-09-26,,GLOBALVECT,Global Vectra Helicorp Limited,EQ,MEETING,,Annual General Meeting,10,INE792H01019,2022-09-28,2022-09-29
2022-09-26,2022-09-27,SHYAMCENT,Shyam Century Ferrous Limited,EQ,BUYBACK,,Buy Back,1,INE979R01011,,
2022-09-23,,ABHISHEK,Abhishek Corporation Limited,EQ,MEETING,,Annual General Meeting,10,INE004I01017,2022-09-24,2022-09-30
2022-09-23,,ADL,Archidply Decor Limited,EQ,MEETING,,Annual General Meeting,10,INE0CHO01012,2022-09-24,2022-09-30
2022-09-23,,AGROPHOS,Agro Phos India Limited,EQ,MEETING,,Annual General Meeting,10,INE740V01019,2022-09-24,2022-09-30
2022-09-23,,ARCHIDPLY,Archidply Industries Limited,EQ,MEETING,,Annual General Meeting,10,INE877I01016,2022-09-24,2022-09-30
2022-09-23,,ARENTERP,Rajdarshan Industries Limited,EQ,MEETING,,Annual General Meeting,10,INE000801014,2022-09-24,2022-09-30
2022-09-23,,ASIL,Amit Spinning Industries Limited,EQ,MEETING,,Annual General Meeting,5,INE988A01026,2022-09-24,2022-09-30
2022-09-23,,AURUS,AURUS GEM CORPORATION LIMITED,EQ,MEETING,,Annual General Meeting,10,INE142K01011,2022-09-24,2022-09-30
2022-09-23,,BANG,Bang Overseas Limited,EQ,MEETING,,Annual General Meeting,10,INE863I01016,2022-09-24,2022-09-30
2022-09-23,2022-09-23,BEARDSELL,Beardsell Limited,EQ,DIVIDEND,0.10,Dividend - Rs 0.10 Per Share,2,INE520H01014,,
2022-09-23,,BEARDSELL,Beardsell Limited,EQ,MEETING,,Annual General Meeting,2,INE520H01014,2022-09-24,2022-09-30
2022-09-23,,BGLOBAL,Bharatiya Global Infomedia Limited,EQ,MEETING,,Annual General Meeting,10,INE224M01013,2022-09-24,2022-09-30
2022-09-23,,BHANDARI,Bhandari Hosiery Exports Limited,EQ,DIVIDEND,0.01,Annual General Meeting/Dividend - Re 0.01 Per Share,1,INE474E01029,2022-09-24,2022-09-30
2022-09-23,,BLUECHIP,Blue Chip India Limited,EQ,MEETING,,Annual General Meeting,2,INE657B01025,2022-09-24,2022-09-30
2022-09-23,2022-09-26,BSHSL,Bombay Super Hybrid Seeds Limited,EQ,SPLIT,10:1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,INE032Z01012,,
2022-09-23,,CREATIVEYE,Creative Eye Limited,EQ,MEETING,,Annual General Meeting,5,INE230B01021,2022-09-24,2022-09-30
2022-09-23,,CYBERMEDIA,Cyber Media (India) Limited,EQ,MEETING,,Annual General Meeting,10,INE278G01037,2022-09-24,2022-09-30
2022-09-23,,DCMFINSERV,DCM Financial Services Limited,EQ,MEETING,,Annual General Meeting,10,INE891B01012,2022-09-24,2022-09-30
2022-09-23,,EMBDL,Embassy Developments Limited,EQ,MEETING,,Annual General Meeting,2,INE069I01010,2022-09-27,2022-09-30
2022-09-23,,ENERGYDEV,Energy Development Company Limited,EQ,MEETING,,Annual General Meeting,10,INE306C01019,2022-09-24,2022-09-30
2022-09-23,,GFSTEELS,Grand Foundry Limited,EQ,MEETING,,Annual General Meeting,4,INE534A01028,2022-09-24,2022-09-30
2022-09-23,,GLOBAL,Global Education Limited,EQ,MEETING,,Extra Ordinary General Meeting,2,INE291W01011,2022-09-26,2022-10-01
2022-09-23,,GOENKA,Goenka Diamond and Jewels Limited,EQ,MEETING,,Annual General Meeting,1,INE516K01016,2022-09-26,2022-09-28
2022-09-23,,GSS,GSS Infotech Limited,EQ,MEETING,,Annual General Meeting,10,INE871H01011,2022-09-27,2022-09-30
2022-09-23,,HGS,Hinduja Global Solutions Limited,EQ,DIVIDEND,25.00,Annual General Meeting/Dividend - Rs 25 Per Share,10,INE170I01016,2022-09-27,2022-09-28
2022-09-23,,IBULLSLTD,Indiabulls Limited,EQ,MEETING,,Annual General Meeting,2,INE126M01010,2022-09-27,2022-09-30
2022-09-23,,JAIPURKURT,Nandani Creation Limited,EQ,MEETING,,Annual General Meeting,10,INE696V01013,2022-09-24,2022-09-30
2022-09-23,,KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ,MEETING,,Annual General Meeting,10,INE641C01019,2022-09-24,2022-09-30
2022-09-23,,KEEPLEARN,DSJ Keep Learning Limited,EQ,MEETING,,Annual General Meeting,1,INE055C01020,2022-09-24,2022-09-30
2022-09-23,,KOHINOOR,Kohinoor Foods Limited,EQ,MEETING,,Annual General Meeting,10,INE080B01012,2022-09-24,2022-09-30
2022-09-23,,KRIDHANINF,Kridhan Infra Limited,EQ,MEETING,,Annual General Meeting,2,INE524L01026,2022-09-24,2022-09-30
2022-09-23,,KSCL,Kaveri Seed Company Limited,EQ,MEETING,,Annual General Meeting,2,INE455I01011,2022-09-27,2022-09-29
2022-09-23,,LPDC,Landmark Property Development Company Limited,EQ,MEETING,,Annual General Meeting,1,INE197J01017,2022-09-24,2022-09-30
2022-09-23,,MADHAV,Madhav Marbles and Granites Limited,EQ,DIVIDEND,0.25,Annual General Meeting/Dividend - Rs  0.25 Per Share,10,INE925C01016,2022-09-24,2022-09-30
2022-09-23,,MARSHALL,Marshall Machines Limited,EQ,MEETING,,Annual General Meeting,10,INE00SZ01018,2022-09-24,2022-09-30
2022-09-23,,MASKINVEST,Mask Investments Limited,EQ,MEETING,,Annual General Meeting,10,INE885F01015,2022-09-24,2022-09-30
2022-09-23,,MODTHREAD,Modern Threads (India) Limited,EQ,MEETING,,Annual General Meeting,10,INE197901015,2022-09-24,2022-09-30
2022-09-23,,MOHITIND,Mohit Industries Limited,EQ,MEETING,,Annual General Meeting,10,INE954E01012,2022-09-24,2022-09-30
2022-09-23,,NATCOPHARM,Natco Pharma Limited,EQ,MEETING,,Annual General Meeting,2,INE987B01018,2022-09-27,2022-09-30
2022-09-23,,ONELIFECAP,Onelife Capital Advisors Limited,EQ,MEETING,,Annual General Meeting,10,INE912L01015,2022-09-24,2022-09-30
2022-09-23,,ORTINGLOBE,ORTIN GLOBAL LIMITED,EQ,MEETING,,Annual General Meeting,10,INE749B01020,2022-09-24,2022-09-30
2022-09-23,,PATANJALI,Patanjali Foods Limited,EQ,DIVIDEND,5.00,Dividend - Rs 5 Per Share,2,INE619A01035,2022-09-27,2022-09-29
2022-09-23,,PREMIER,Premier Limited,EQ,MEETING,,Annual General Meeting,10,INE342A01018,2022-09-24,2022-09-30
2022-09-23,,RADAAN,Radaan Mediaworks India Limited,EQ,MEETING,,Annual General Meeting,2,INE874F01027,2022-09-24,2022-09-30
2022-09-23,2022-09-26,RUBYMILLS,The Ruby Mills Limited,EQ,BONUS,1:1,Bonus 1:1,5,INE301D01018,,
2022-09-23,2022-09-26,SAKSOFT,Saksoft Limited,EQ,SPLIT,10:1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,INE667G01015,,
2022-09-23,,SERVOTECH,Servotech Renewable Power System Limited,EQ,MEETING,,Annual General Meeting,1,INE782X01017,2022-09-24,2022-09-30
2022-09-23,,SETUINFRA,Setubandhan Infrastructure Limited,EQ,MEETING,,Annual General Meeting,1,INE023M01027,2022-09-26,2022-09-30
2022-09-23,,SGL,STL Global Limited,EQ,MEETING,,Annual General Meeting,10,INE353H01010,2022-09-24,2022-09-30
2022-09-23,,SOMICONVEY,Somi Conveyor Beltings Limited,EQ,MEETING,,Annual General Meeting,10,INE323J01019,2022-09-24,2022-09-30
2022-09-23,,SUBCAPCITY,International Constructions Limited,EQ,MEETING,,Annual General Meeting,10,INE845C01016,2022-09-24,2022-09-30
2022-09-23,,TARAPUR,Tarapur Transformers Limited,EQ,MEETING,,Annual General Meeting,10,INE747K01017,2022-09-24,2022-09-30
2022-09-23,,TECHNOFAB,Technofab Engineering Limited,EQ,MEETING,,Annual General Meeting,10,INE509K01011,2022-09-24,2022-09-30
2022-09-23,,TECILCHEM,TECIL Chemicals and Hydro Power Limited,EQ,MEETING,,Annual General Meeting,10,INE346301018,2022-09-24,2022-09-30
2022-09-23,,THOMASCOTT,Thomas Scott (India) Limited,EQ,MEETING,,Annual General Meeting,10,INE480M01011,2022-09-24,2022-09-30
2022-09-23,,TPHQ,Teamo Productions HQ Limited,EQ,MEETING,,Annual General Meeting,1,INE065J01016,2022-09-24,2022-09-30
2022-09-23,,UJAAS,Ujaas Energy Limited,EQ,MEETING,,Annual General Meeting,1,INE899L01022,2022-09-24,2022-09-30
2022-09-23,,VAISHALI,Vaishali Pharma Limited,EQ,MEETING,,Annual General Meeting,2,INE972X01014,2022-09-24,2022-09-30
2022-09-23,,VIVIDHA,Visagar Polytex Limited,EQ,MEETING,,Annual General Meeting,1,INE370E01029,2022-09-24,2022-09-30
2022-09-23,,WEWIN,WE WIN LIMITED,EQ,MEETING,,Annual General Meeting,10,INE082W01014,2022-09-24,2022-09-30
2022-09-23,,ZENITHEXPO,Zenith Exports Limited,EQ,MEETING,,Annual General Meeting,10,INE058B01018,2022-09-24,2022-09-30
2022-09-22,,360ONE,360 ONE WAM LIMITED,EQ,MEETING,,Annual General Meeting,1,INE466L01020,2022-09-26,2022-09-30
2022-09-22,2022-09-23,92GS2030,GOVERNMENT OF INDIA,GS,INTEREST,,Interest Payment,100,IN0020130053,,
2022-09-22,,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,MEETING,,Annual General Meeting,10,INE198H01019,2022-09-24,2022-09-30
2022-09-22,2022-09-23,ACCURACY,Accuracy Shipping Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,1,INE648Z01015,,
2022-09-22,2022-09-23,AEGISLOG,Aegis Logistics Limited,EQ,DIVIDEND,1.00,Interim Dividend - Re 1 Per Share,1,INE208C01025,,
2022-09-22,,AGARIND,Agarwal Industrial Corporation Limited,EQ,DIVIDEND,2.00,Annual General Meeting/Dividend - Rs 2 Per Share,10,INE204E01012,2022-09-24,2022-09-30
2022-09-22,2022-09-23,AHLADA,Ahlada Engineers Limited,EQ,DIVIDEND,1.40,Dividend - Rs 1.40 Per Share,10,INE00PV01013,,
2022-09-22,,AKG,Akg Exim Limited,EQ,MEETING,,Annual General Meeting,10,INE00Y801016,2022-09-23,2022-09-29
2022-09-22,,ASAHISONG,Asahi Songwon Colors Limited,EQ,DIVIDEND,,Annual General Meeting/Dividend - Rs  Per Share,10,INE228I01012,2022-09-24,2022-09-30
2022-09-22,,AURUM,Aurum PropTech Limited,EQ,MEETING,,Annual General Meeting,5,INE898S01029,2022-09-24,2022-09-29
2022-09-22,,BAJAJHCARE,Bajaj Healthcare Limited,EQ,DIVIDEND,1.50,Annual General Meeting/Dividend - Rs  1.50 Per Share,5,INE411U01027,2022-09-24,2022-09-30
2022-09-22,2022-09-23,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,DIVIDEND,110.00,Interim Dividend - Rs  110 Per Share,10,INE118A01012,,
2022-09-22,,BCG,Brightcom Group Limited,EQ,DIVIDEND,0.30,Annual General Meeting/Dividend - Re 0.30 Per Share,2,INE425B01027,2022-09-24,2022-09-30
2022-09-22,,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,DIVIDEND,1.25,Annual General Meeting/Dividend - Rs 1.25 Per Share,2,INE495P01012,2022-09-24,2022-09-30
2022-09-22,,BHAGYAPROP,Bhagyanagar Properties Limited,EQ,MEETING,,Annual General Meeting,2,INE363W01018,2022-09-24,2022-09-29
2022-09-22,,BIGBLOC,Bigbloc Construction Limited,EQ,DIVIDEND,0.20,Annual General Meeting/Dividend - Re 0.20 Per Share,2,INE412U01017,2022-09-24,2022-09-30
2022-09-22,,BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,MEETING,,Annual General Meeting,1,INE350H01024,2022-09-24,2022-09-30
2022-09-22,,BODALCHEM,Bodal Chemicals Limited,EQ,DIVIDEND,0.80,Annual General Meeting/Dividend - Rs 0.80 Per Share,2,INE338D01028,2022-09-24,2022-09-26
2022-09-22,,BROOKS,Brooks Laboratories Limited,EQ,MEETING,,Annual General Meeting,10,INE650L01011,2022-09-24,2022-09-29
2022-09-22,,CCHHL,Country Club Hospitality & Holidays Limited,EQ,MEETING,,Annual General Meeting,2,INE652F01027,2022-09-24,2022-09-30
2022-09-22,2022-09-23,CHOICEIN,Choice International Limited,EQ,BONUS,1:1,Bonus 1:1,10,INE102B01014,,
2022-09-22,,CMICABLES,CMI Limited,EQ,MEETING,,Annual General Meeting,10,INE981B01011,2022-09-24,2022-09-30
2022-09-22,,CNL,Creative Newtech Limited,EQ,DIVIDEND,0.50,Dividend - Rs 0.5 Per Share,10,INE985W01018,2022-09-24,2022-09-29
2022-09-22,,CONFIPET,Confidence Petroleum India Limited,EQ,DIVIDEND,0.10,Annual General Meeting/Dividend - Rs  0.10 Per Share,1,INE552D01024,2022-09-24,2022-09-30
2022-09-22,,DBL,Dilip Buildcon Limited,EQ,DIVIDEND,0.10,Annual General Meeting/Dividend - Re 0.10 Per Share,10,INE917M01012,2022-09-24,2022-09-30
2022-09-22,,DBREALTY,Valor Estate Limited,EQ,MEETING,,Annual General Meeting,10,INE879I01012,2022-09-24,2022-09-30
2022-09-22,,DEVIT,Dev Information Technology Limited,EQ,DIVIDEND,0.50,Annual General Meeting/Dividend - Re 0.50 Per Share,2,INE060X01018,2022-09-24,2022-09-30
2022-09-22,,DHANI,Dhani Services Limited,EQ,MEETING,,Annual General Meeting,2,INE274G01010,2022-09-26,2022-09-29
2022-09-22,,DOLATALGO,Dolat Algotech Limited,EQ,MEETING,,Annual General Meeting,1,INE966A01022,2022-09-24,2022-09-30
2022-09-22,2022-09-23,DPABHUSHAN,D. P. Abhushan Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE266Y01019,,
2022-09-22,,DSSL,Dynacons Systems & Solutions Limited,EQ,MEETING,,Annual General Meeting,10,INE417B01040,2022-09-24,2022-09-30
2022-09-22,,DUCON,Ducon Infratechnologies Limited,EQ,MEETING,,Annual General Meeting,1,INE741L01018,2022-09-24,2022-09-30
2022-09-22,,EIFFL,Euro India Fresh Foods Limited,EQ,MEETING,,Annual General Meeting,10,INE546V01010,2022-09-24,2022-09-30
2022-09-22,,GAMMONIND,Gammon India Limited,EQ,MEETING,,Annual General Meeting,2,INE259B01020,2022-09-23,2022-09-30
2022-09-22,,GANECOS,Ganesha Ecosphere Limited,EQ,DIVIDEND,2.00,Annual General Meeting/Dividend - Rs 2 Per Share,10,INE845D01014,2022-09-24,2022-09-30
2022-09-22,2022-09-23,GEEKAYWIRE,Geekay Wires Limited,EQ,DIVIDEND,2.50,Dividend - Rs 2.50 Per Share,1,INE669X01016,,
2022-09-22,,GEEKAYWIRE,Geekay Wires Limited,EQ,MEETING,,Annual General Meeting,1,INE669X01016,2022-09-24,2022-09-30
2022-09-22,,GENCON,Generic Engineering Construction and Projects Limited,EQ,DIVIDEND,0.05,Annual General Meeting/Dividend - Rs  0.05 Per Share,5,INE854S01022,2022-09-24,2022-09-30
2022-09-22,,GENESYS,Genesys International Corporation Limited,EQ,MEETING,,Annual General Meeting,5,INE727B01018,2022-09-24,2022-09-30
2022-09-22,,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,DIVIDEND,4.30,Annual General Meeting/Dividend - Rs  4.30 Per Share,2,INE131A01031,2022-09-24,2022-09-30
2022-09-22,,GRMOVER,GRM Overseas Limited,EQ,MEETING,,Annual General Meeting,2,INE192H01020,2022-09-24,2022-09-30
2022-09-22,,HALEOSLABS,HALEOS LABS LIMITED,EQ,DIVIDEND,1.50,Annual General Meeting/Dividend - Rs 1.50 Per Share,10,INE320X01016,2022-09-24,2022-09-30
2022-09-22,,HARDWYN,Hardwyn India Limited,EQ,MEETING,,Annual General Meeting,1,INE626Z01011,2022-09-24,2022-09-30
2022-09-22,,HCG,Healthcare Global Enterprises Limited,EQ,MEETING,,Annual General Meeting,10,INE075I01017,2022-09-26,2022-09-29
2022-09-22,,HECPROJECT,HEC Infra Projects Limited,EQ,MEETING,,Annual General Meeting,10,INE558R01013,2022-09-23,2022-09-29
2022-09-22,,HFCL,HFCL Limited,EQ,DIVIDEND,0.18,Annual General Meeting/Dividend - Re 0.18 Per Share,1,INE548A01028,2022-09-24,2022-09-30
2022-09-22,,HMT,HMT Limited,EQ,MEETING,,Annual General Meeting,10,INE262A01018,2022-09-24,2022-09-30
2022-09-22,,HPL,HPL Electric & Power Limited,EQ,DIVIDEND,0.15,Annual General Meeting/Dividend - Re 0.15 Per Share,10,INE495S01016,2022-09-24,2022-09-30
2022-09-22,,IL&FSENGG,IL&FS Engineering and Construction Company Limited,EQ,MEETING,,Annual General Meeting,10,INE369I01014,2022-09-23,2022-09-29
2022-09-22,,INDOTHAI,Indo Thai Securities Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,1,INE337M01013,2022-09-24,2022-09-27
2022-09-22,,INDOWIND,Indowind Energy Limited,EQ,MEETING,,Annual General Meeting,10,INE227G01018,2022-09-24,2022-09-30
2022-09-22,,INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,MEETING,,Annual General Meeting,10,INE915B01019,2022-09-26,2022-09-30
2022-09-22,,INTLCONV,International Conveyors Limited,EQ,DIVIDEND,1.00,Annual General Meeting/Dividend - Re 1 Per Share,1,INE575C01027,2022-09-24,2022-09-30
2022-09-22,,INVENTURE,Inventure Growth & Securities Limited,EQ,MEETING,,Annual General Meeting,1,INE878H01016,2022-09-24,2022-09-30
2022-09-22,,ITDC,India Tourism Development Corporation Limited,EQ,MEETING,,Annual General Meeting,10,INE353K01014,2022-09-26,2022-09-30
2022-09-22,,JINDCOT,Jindal Cotex Limited,EQ,MEETING,,Annual General Meeting,10,INE904J01016,2022-09-23,2022-09-30
2022-09-22,,JPINFRATEC,Jaypee Infratech Limited,EQ,MEETING,,Annual General Meeting,10,INE099J01015,2022-09-24,2022-09-26
2022-09-22,,KERNEX,Kernex Microsystems (India) Limited,EQ,MEETING,,Annual General Meeting,10,INE202H01019,2022-09-24,2022-09-30
2022-09-22,,LANCER,Lancer Container Lines Limited,EQ,MEETING,,Annual General Meeting,5,INE359U01010,2022-09-24,2022-09-30
2022-09-22,,LCCINFOTEC,LCC Infotech Limited,EQ,MEETING,,Annual General Meeting,2,INE938A01021,2022-09-23,2022-09-29
2022-09-22,2022-09-23,LIBERTSHOE,Liberty Shoes Limited,EQ,DIVIDEND,2.50,Interim Dividend - Rs 2.50 Per Share,10,INE557B01019,,
2022-09-22,,LIBERTSHOE,Liberty Shoes Limited,EQ,MEETING,,Annual General Meeting,10,INE557B01019,2022-09-24,2022-09-30
2022-09-22,,MADHUCON,Madhucon Projects Limited,EQ,MEETING,,Annual General Meeting,1,INE378D01032,2022-09-23,2022-09-29
2022-09-22,,MAHASTEEL,Mahamaya Steel Industries Limited,EQ,MEETING,,Annual General Meeting,10,INE451L01014,2022-09-24,2022-09-30
2022-09-22,,MAHESHWARI,Maheshwari Logistics Limited,EQ,DIVIDEND,0.50,Annual General Meeting/Dividend - Re 0.50 Per Share,10,INE263W01010,2022-09-24,2022-09-30
2022-09-22,2022-09-23,MAHSCOOTER,Maharashtra Scooters Limited,EQ,DIVIDEND,100.00,Interim Dividend - Rs 100 Per Share,10,INE288A01013,,
2022-09-22,,MARATHON,Marathon Nextgen Realty Limited,EQ,DIVIDEND,0.50,Annual General Meeting/Dividend - Re 0.50 Per Share,5,INE182D01012,2022-09-24,2022-09-29
2022-09-22,,MCL,M TEK COPPER LIMITED,EQ,MEETING,,Annual General Meeting,5,INE813V01014,2022-09-24,2022-09-30
2022-09-22,,MEP,MEP Infrastructure Developers Limited,EQ,MEETING,,Annual General Meeting,10,INE776I01010,2022-09-24,2022-09-30
2022-09-22,,MHLXMIRU,Mahalaxmi Rubtech Limited,EQ,MEETING,,Annual General Meeting,10,INE112D01035,2022-09-24,2022-09-30
2022-09-22,,MODIRUBBER,Modi Rubber Limited,EQ,MEETING,,Annual General Meeting,10,INE832A01018,2022-09-24,2022-09-30
2022-09-22,,MOKSH,Moksh Ornaments Limited,EQ,MEETING,,Annual General Meeting,2,INE514Y01012,2022-09-24,2022-09-30
2022-09-22,,MOLDTECH,Mold-Tek Technologies Limited,EQ,DIVIDEND,0.30,Annual General Meeting/Dividend - Re 0.30 Per Share,2,INE835B01035,2022-09-24,2022-09-30
2022-09-22,,MOLDTKPAC,Mold-Tek Packaging Limited,EQ,DIVIDEND,2.00,Annual General Meeting/Dividend - Rs 2 Per Share,5,INE893J01011,2022-09-24,2022-09-30
2022-09-22,,NAGREEKEXP,Nagreeka Exports Limited,EQ,MEETING,,Annual General Meeting,5,INE123B01028,2022-09-23,2022-09-29
2022-09-22,,NDL,Nandan Denim Limited,EQ,MEETING,,Annual General Meeting,1,INE875G01030,2022-09-24,2022-09-30
2022-09-22,,NECCLTD,North Eastern Carrying Corporation Limited,EQ,MEETING,,Annual General Meeting,10,INE553C01016,2022-09-24,2022-09-30
2022-09-22,,NITIRAJ,Nitiraj Engineers Limited,EQ,MEETING,,Annual General Meeting,10,INE439T01012,2022-09-23,2022-09-29
2022-09-22,,NOIDATOLL,Noida Toll Bridge Company Limited,EQ,MEETING,,Annual General Meeting,10,INE781B01015,2022-09-24,2022-09-30
2022-09-22,,PAISALO,Paisalo Digital Limited,EQ,DIVIDEND,0.10,Annual General Meeting/Dividend - Re 0.10 Per Share,1,INE420C01042,2022-09-24,2022-09-30
2022-09-22,,PARAGMILK,Parag Milk Foods Limited,EQ,MEETING,,Annual General Meeting,10,INE883N01014,2022-09-24,2022-09-30
2022-09-22,,PARSVNATH,Parsvnath Developers Limited,EQ,MEETING,,Annual General Meeting,5,INE561H01018,2022-09-24,2022-09-30
2022-09-22,,PEARLPOLY,Pearl Polymers Limited,EQ,MEETING,,Annual General Meeting,10,INE844A01013,2022-09-23,2022-09-29
2022-09-22,,PGEL,PG Electroplast Limited,EQ,MEETING,,Annual General Meeting,1,INE457L01011,2022-09-24,2022-09-29
2022-09-22,,POLYPLEX,Polyplex Corporation Limited,EQ,DIVIDEND,21.00,Annual General Meeting/Dividend - Rs 21 Per Share,10,INE633B01018,2022-09-24,2022-09-26
2022-09-22,,POWERMECH,Power Mech Projects Limited,EQ,DIVIDEND,1.50,Annual General Meeting/Dividend - Rs 1.50 Per Share,10,INE211R01019,2022-09-24,2022-09-30
2022-09-22,,PRAENG,Prajay Engineers Syndicate Limited,EQ,MEETING,,Annual General Meeting,10,INE505C01016,2022-09-24,2022-09-30
2022-09-22,,PRITIKAUTO,Pritika Auto Industries Limited,EQ,MEETING,,Annual General Meeting,2,INE583R01029,2022-09-26,2022-09-29
